name,vallab,varlab
qq202,qq202,每天吸烟量（支）
qq204,qq204,是否曾经吸烟
qq2011,qq2011,开始吸烟年龄（岁）
qq205,qq205,戒烟年龄（岁）
qq301,qq301,过去一月每周喝酒超过3次吗
qq401,qq401,您是否午休
qq402,qq402,午休时长（分）
qq403a,qq403a,晚上睡觉时间（点）
qq403b,qq403b,晚上睡觉时间（分）
qq400,qq400,是否有工作日及休息日的区分
qq4001,qq4001,是否工作日
qq4010,qq4010,睡眠时长（小时/天）
qq4011,qq4011,工作日睡眠时长(小时/天)
qq4012,qq4012,休息日睡眠时长(小时/天)
qq9010n,qq9010n,干家务时长（小时/天）
qq9011n,qq9011n,工作日干家务时长(小时/天)
qq9012,qq9012,休息日干家务时长(小时/天)
qq91,qq91,干家务时长（小时/天）
qq921,qq921,购买日用品（分钟/天）
qq922,qq922,做饭洗碗（分钟/天）
qq923,qq923,熨烫整理（分钟/天）
qq924,qq924,清扫房间（分钟/天）
qq925,qq925,照顾家人（分钟/天）
qq926,qq926,其他家务（分钟/天）
qq93,qq93,配偶工作日家务时间(分钟/天)
qq94,qq94,配偶休息日家务(分钟/天)
qq95,qq95,购买服务积极性
qq1001,qq1001,看电视电影时长(小时/周)
qq9012n,qq9012n,照顾家人时长（小时/天）
qq9013,qq9013,照顾孩子时长（小时/天）
qq1002,qq1002,和家人吃饭次数(晚/周)
qq1101,qq1101,是否读书
qq1102,qq1102,总阅读量（本）
qq501,qq501,能记住主要事情吗
qn406,qn406,我感到情绪低落
qn407,qn407,我觉得做任何事都很费劲
qn411,qn411,我的睡眠不好
qn412,qn412,我感到愉快
qn414,qn414,我感到孤独
qn416,qn416,我生活快乐
qn418,qn418,我感到悲伤难过
qn420,qn420,我觉得生活无法继续
cesd20sc,cesd20sc,CESD20SC构建分数
cesd8,cesd8,CESD8分数
qn2,qn2,与父母争吵次数（次/月）
qn201,qn201,与父母谈心次数（次/月）
qn3,,过去一月父母争吵次数(次/月)
whichwordlist,whichwordlist,受访者回答的题组：词组
whichmathlist,whichmathlist,受访者回答的题组：数学
wordtest22_sc2,wordtest22_sc2,22年词组测试题得分：22年问卷算法
wordtest22,wordtest22,22年词组测试题得分：与10年可比算法
mathtest22_sc2,mathtest22_sc2,22年数学测试题得分：22年问卷算法
mathtest22,mathtest22,22年数学测试题得分：与10年可比算法
qq1011,qq1011,能否独立户外活动
qq1012,qq1012,能否独立进餐
qq1013,qq1013,能否独立厨房活动
qq1014,qq1014,能够独立使用公共交通
qq1015,qq1015,能否独立购物
qq1016,qq1016,能否独立清洁卫生
qq1017,qq1017,能否独立洗衣
qv01,qv01,14岁前健康状况
qv02,,14岁领袖气质
qv03,qv03,14岁冒险精神
qv04,qv04,14岁家庭地位
qv101a,qv101a,父亲出生日期（年）
qv101c,qv101c,父亲年龄
qv102,,您14岁时父亲教育程度
qv104,qv104,您14岁时父亲政治面貌
qv201y,qv201y,您母亲出生日期（年）
qv201b,qv201b,您母亲的年龄
qv202,,您14岁时母亲教育程度
qv204,qv204,您14岁时母亲政治面貌
qz101pid_a_1,qz101pid_a_1,其他参与回答问卷的家庭成员1
qz101pid_a_2,qz101pid_a_2,其他参与回答问卷的家庭成员2
qz102_s_1,qz102_s_1,家庭成员之外谁在场：选择1
qz102_s_2,qz102_s_2,家庭成员之外谁在场：选择2
qz102_s_3,qz102_s_3,家庭成员之外谁在场：选择3
qz103,qz103,访问使用的主要语言
qz202,qz202,健康状况
qz203,qz203,衣装整洁程度
qz204,qz204,外貌
qz207,qz207,智力水平
qz5,qz5,急于结束调查的程度
pg02,pg02,过去12个月是否有工作（代答）
cfps2022edu,cfps2022edu,CFPS2022个人问卷受访者已完成的最高学历
cfps2022sch,cfps2022sch,CFPS2022个人问卷受访者离校/上学阶段
cfps2022eduy,cfps2022eduy,CFPS2022个人问卷受访者已完成的受教育年限
cfps2022eduy_im,cfps2022eduy_im,CFPS2022个人问卷受访者已完成的受教育年限（插补）
interviewerid22,interviewerid22,访员编码
